,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNA1_min,DNA1_max,DNA2_min,DNA2_max,DNA3_min,DNA3_max,DNA12_min,DNA12_max,DNA23_min,DNA23_max,DNA13_min,DNA13_max,DNA123_min,DNA123_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
33,11.15,0.3098,8.089,0.04853,0.1766,12.73,0.8612,0.00941,0.04167,74.54,0.03517,0.2319,8.112,0.2803,0.001509,0.03475,4.702,0.04928,119.2,229.9,2.792,0.8906,8.096,5.713,0.6809,0.1127,3.855,1.843,1,0,0,196.7,0.2269,0.9572,0.04198,0.04231,7.56E-05,0.00371,0.005305,0.2606,2.15E-05,0.003334,1.01E-06,0.005392,0.00291,0.4507,1.28E-05,0.1082,0.1293,2.124,4.725,52.06,0.309,37.45,TRUE,1
34,0.1657,0.1079,0.5535,0.06096,0.122,517.4,9.341,0.4612,1.886,96.93,0.005426,0.003679,0.008244,0.008024,0.001057,0.006202,0.007758,0.03451,21.26,0.3792,0.5789,0.4471,4.706,0.4602,0.1412,0.05659,2.241,0.1485,1,0,0,379.1,0.109,0.9562,0.02351,0.1129,5.08E-05,0.004967,0.004213,0.3235,1.69E-05,0.006485,6.05E-07,0.01387,0.00493,0.5748,3.55E-05,0.228,20.22,529.2,31.57,588,0.235,81.52,FALSE,1
35,2.059,0.4339,0.6587,0.0034,0.1191,115.3,0.9797,88.6,3.196,0.1438,9.398,0.1246,0.2204,0.001177,0.006046,0.2031,0.001274,0.1974,696.5,0.06228,0.5115,0.7753,8.995,1.117,0.1248,0.09814,4.283,0.3603,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
36,118.9,0.8019,1.134,0.01341,0.8128,229.1,0.0451,0.04427,4.151,82.89,0.03107,0.3305,0.01633,0.4144,0.001924,0.004793,4.543,0.06282,16.43,222.1,0.9419,8.535,11.16,7.984,0.2297,1.08,5.314,2.575,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
37,5.493,0.2753,2.612,0.02241,0.01726,127.2,3.644,58.25,0.1697,0.3699,0.9459,0.00269,0.09872,0.01816,0.06354,0.02584,0.001511,2.075,88.58,0.07387,2.143,0.4064,0.2103,0.1675,0.5227,0.05145,0.1002,0.05404,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
38,38.52,0.7597,9.07,0.005411,0.1609,29.23,1.037,40.97,0.4256,1.031,5.312,0.2327,0.03589,0.04862,24.15,0.01341,0.001544,788.5,45.98,0.07546,5.694,3.524,10.33,14.88,1.389,0.446,4.919,4.799,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
39,0.7636,0.5008,1.314,0.0009551,0.09009,11.8,7.997,0.4958,0.3273,40.72,0.001631,0.001107,1.202,0.009531,0.001013,0.07584,5.971,0.03309,260,291.9,3.472,0.695,2.501,4.953,0.8468,0.08797,1.191,1.598,1,0,0,90.1,0.1275,0.7226,0.027,0.4916,0.0001074,0.004462,0.007532,0.3134,0.0003343,0.003882,3.38E-06,0.01213,0.04517,0.5244,0.000264,0.2173,6.156,79.11,9.708,98.14,0.7208,73.52,FALSE,1
40,4.343,0.4861,0.5092,0.0005168,0.1183,3.031,0.1143,0.02037,3.805,74.82,0.3813,0.5444,0.007739,0.2152,0.00155,0.01265,0.003288,0.0506,43.36,0.1607,1.144,0.6252,0.9028,0.543,0.2791,0.07914,0.4299,0.1752,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
41,5.426,0.4362,0.4748,0.001373,0.4401,190.1,0.2586,1.612,3.83,89.48,0.3079,0.001241,1.306,0.001361,0.002185,0.05311,0.4537,0.07135,182.1,22.18,17.4,2.484,0.1855,0.4094,4.243,0.3145,0.08835,0.1321,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
42,2.336,0.372,1.323,0.003482,0.02265,4.262,1.04,60.17,0.001004,1.116,33.86,0.01099,17,0.4719,0.005482,0.1184,0.001648,0.179,406,0.08054,1.238,0.4026,0.1892,0.3833,0.3019,0.05096,0.0901,0.1236,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
43,0.7847,0.349,0.3442,0.007562,0.05198,5.127,1.079,0.05072,0.001728,34.72,42.86,0.006476,0.2328,0.256,0.001444,0.2892,8.431,0.04716,991.7,412.1,0.3893,2.771,0.2266,0.2195,0.09494,0.3508,0.1079,0.07081,1,0,0,170.3,0.4889,0.8055,0.08393,0.1758,0.0006643,0.001788,0.0466,0.1255,0.0003514,0.001783,8.38E-05,0.0008768,0.0475,0.2407,0.001132,0.02098,7.57,15.56,16.99,33.9,2.922,11.63,FALSE,1
44,92.41,0.9676,2.234,0.007686,0.03104,2.322,0.152,25.99,0.002221,0.02513,0.001837,0.1199,0.08382,0.1291,0.1443,0.007256,0.001302,4.712,24.88,0.06363,0.8861,2.006,1.23,4.024,0.2161,0.2539,0.5857,1.298,1,0,0,69.6,0.2327,0.8267,0.01673,0.3306,0.000158,0.003164,0.03027,0.2815,1.58E-05,0.01244,8.87E-05,0.001085,0.03478,0.4241,0.0002329,0.09622,0.07743,0.6103,7.522,52.14,0.7624,36.1,FALSE,1
45,45.57,0.8197,0.09279,0.02747,0.07174,117.8,0.02549,0.01804,98.7,79.12,0.917,0.7574,0.001842,0.001867,0.001232,0.002507,0.9204,0.04024,8.595,44.99,6.821,0.4523,0.6005,0.8886,1.664,0.05725,0.286,0.2867,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
46,39.84,0.8198,3.374,0.008173,0.01658,27.92,2.683,0.001697,0.01224,74.16,0.01376,0.0377,0.3264,0.00328,0.001421,0.003634,2.595,0.04641,12.46,126.9,0.9142,2.273,0.4298,4.068,0.223,0.2878,0.2047,1.312,1,0,0,30.6,0.02228,0.57,0.01063,0.7225,1.36E-05,0.003577,0.0009488,0.3386,0.0001102,0.009782,8.69E-08,0.02015,0.3531,0.3557,1.69E-05,0.4952,0.2833,19.48,15.44,589,0.1426,205.8,TRUE,1
47,0.7764,0.1476,0.4219,0.003689,0.03463,123.9,2.332,0.2373,0.007427,82.83,74.26,0.001208,3.211,0.06434,0.001188,0.005052,0.01107,0.03879,17.32,0.541,0.3897,0.6683,1.836,0.4501,0.09505,0.0846,0.8745,0.1452,1,0,0,195.5,0.06442,0.9115,0.03533,0.08698,7.94E-05,0.00521,0.006169,0.3331,6.32E-05,0.004648,1.47E-06,0.01675,0.0125,0.5838,0.0001021,0.3038,6.881,150.9,37.27,615.4,0.3884,105.9,FALSE,1
48,45.09,0.2615,0.2635,0.002519,0.0474,537.2,0.05059,0.2991,0.9414,93.94,0.08499,0.03979,0.001367,0.02513,0.001818,0.03864,0.9764,0.05937,132.5,47.73,18.14,0.4474,2.963,9.719,4.426,0.05663,1.411,3.135,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
49,105.4,0.5885,0.925,0.01043,0.465,108.7,0.1142,0.009822,3.608,20.13,0.4548,0.005115,0.001333,0.1094,0.001356,0.001066,0.4382,0.04428,3.655,21.42,14.58,1.214,5.929,0.4656,3.556,0.1537,2.823,0.1502,1,0,0,62.1,0.2061,0.6377,0.05334,0.3766,0.0002951,0.003065,0.01888,0.2289,0.0006748,0.003466,2.20E-05,0.005082,0.09198,0.4618,0.001288,0.1271,0.1096,0.6065,20.2,98.47,1.746,41.47,FALSE,1
50,109.9,0.993,5.683,0.00605,0.03011,27.95,0.69,0.007282,0.03613,61.54,1.895,0.5636,0.004363,0.02085,0.005016,0.007022,0.07239,0.1638,24.07,3.538,8.063,0.5991,13.03,14.71,1.967,0.07583,6.204,4.746,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
51,11.56,0.4911,0.2585,0.04197,0.1012,1.072,0.01179,64.78,0.00866,0.001009,0.03299,0.002281,17.38,0.2754,23.76,0.09623,0.001172,775.9,329.9,0.05728,0.9735,0.594,10.98,0.5107,0.2374,0.07519,5.226,0.1647,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
52,23.37,0.8727,2.693,0.008424,0.01125,12.13,3.666,12.76,0.3615,0.03629,54.96,0.001393,18.99,0.02684,12.97,0.2124,0.001805,423.6,728.1,0.08822,1.892,4.515,0.2736,1.601,0.4615,0.5716,0.1303,0.5166,1,0,0,41.9,0.5482,0.6919,0.09465,0.1698,0.0009018,0.001618,0.06995,0.113,0.000518,0.001996,0.000272,0.0004881,0.1075,0.1924,0.00397,0.01426,2.611,3.887,70.17,103.2,4.565,9.877,FALSE,1
53,6.093,0.8144,0.4856,0.01657,0.1534,20.43,0.342,0.01261,4.589,73.38,0.08285,0.002141,1.14,0.09892,0.003568,0.003655,5.929,0.1165,12.53,289.8,0.3479,0.4444,1.721,0.7996,0.08486,0.05625,0.8194,0.2579,1,0,0,97.7,0.1326,0.9569,0.02437,0.3678,9.49E-05,0.003718,0.006655,0.2636,2.15E-05,0.007498,1.55E-06,0.007362,0.002952,0.5107,1.38E-05,0.1632,0.9389,13.16,7.097,85.57,0.3785,54.93,TRUE,1
54,1.551,0.1808,0.2624,0.02626,0.024,40.66,0.4413,0.04651,1.7,78.55,0.195,0.008647,34.65,0.2562,0.001332,0.05,0.05747,0.0435,171.4,2.809,0.7331,0.4297,0.1162,11.82,0.1788,0.05439,0.05533,3.814,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
55,1.305,0.5208,0.6618,0.01552,0.6297,202.1,2.923,0.1288,0.00902,43.23,0.009868,0.1287,0.01116,0.03552,0.004054,0.02849,2.933,0.1324,97.69,143.3,0.3196,0.4637,1.778,3.711,0.07796,0.05869,0.8465,1.197,1,0,0,79.7,0.3596,0.8468,0.07093,0.2177,0.00052,0.002255,0.03649,0.1583,0.0002303,0.002549,4.96E-05,0.001701,0.0312,0.3425,0.0005764,0.04576,10.57,32.23,26.6,76.74,2.204,18.34,FALSE,1
56,35.76,0.7133,2.078,0.07592,0.1635,60.91,0.2569,0.07163,0.08159,87.26,0.01301,0.001656,0.001791,0.1452,0.004651,0.002926,0.09579,0.1519,10.03,4.682,16.13,1.606,3.148,0.2605,3.934,0.2032,1.499,0.08402,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
57,55.69,0.8262,0.3784,0.001238,0.6913,27.62,0.02168,35.31,90.9,0.08351,0.04752,0.09093,0.03411,0.004898,0.6416,0.008358,0.001538,20.95,28.66,0.0752,0.5344,0.5132,0.9174,0.1628,0.1303,0.06496,0.4369,0.05251,1,0,0,104.4,0.1578,0.8721,0.01887,0.3655,0.0001797,0.003462,0.02821,0.2693,1.86E-05,0.02,5.80E-05,0.001205,0.02249,0.4729,0.0009483,0.1243,0.08307,0.7533,5.678,45.84,0.8073,52.59,FALSE,1
58,22.74,0.4016,3.524,0.04442,0.06328,100.8,1.313,36.24,22.65,0.01645,1.392,0.186,1.99,0.001434,7.156,0.03643,0.001158,233.7,124.9,0.05658,0.2797,1.288,12.04,3.378,0.06823,0.1631,5.733,1.09,1,0,0,120.3,0.2355,0.9342,0.006512,0.3653,6.21E-05,0.003371,0.02479,0.02538,2.29E-06,0.01375,1.81E-05,0.001057,0.007149,0.4174,2.97E-05,0.09658,0.3608,5.114,21.19,246.4,0.282,38.09,TRUE,1
