,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f12,kb1,ku1,kb2,ku2,bcoop,ucoop,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNA1_min,DNA1_max,DNA2_min,DNA2_max,DNA12_min,DNA12_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
1938,0.0631,0.5325,0.08431,0.08191,0.061020000000000005,118.2,2.373,67.27,2.31,0.1145,5.406000000000001,1.0170000000000001,0.05631,0.01013,5.481,0.05753,1,0,0,207.6,0.055729999999999995,0.2609,0.005241,0.1063,0.007287999999999999,0.1926,0.6176,0.8907,29.04,179.8,3.4619999999999997,21.08,0.006222999999999999,0.2292,False,0.0
1939,0.3795,0.3358,1.285,0.01821,0.05246,9.906,0.4393,0.01061,99.9,0.08525,0.01908,0.021840000000000002,2.944,2.688,1.031,0.872,1,0,0,,,,,,,,,,,,,,,,False,1.0
1940,0.4877,0.3207,0.4604,0.058339999999999996,0.01029,12.47,0.7214,99.28,0.05094,0.01591,36.13,34.59,0.2487,0.06944,2.6180000000000003,0.1351,1,0,0,71.5,0.06638,0.8362,0.006523,0.1697,0.04469,0.4379,0.039560000000000005,0.8220000000000001,1.864,24.47,3.15,30.95,0.009907,0.7795,False,0.0
1941,11.37,0.5255,9.056000000000001,0.0019260000000000002,0.03269,0.5277,0.2935,62.54,0.02339,0.1847,34.18,63.56,0.0687,0.011000000000000001,0.1355,5.553999999999999,1,0,0,113.4,0.06971000000000001,0.5088,0.005469,0.2247,0.4598,0.8259,0.0002323,0.03656,0.0223,0.4612,0.5165,8.106,0.02876,3.875,False,1.0
1942,0.5205,0.8868,0.5416,0.0064730000000000005,0.03776,0.3079,0.9761,81.99,0.23,1.829,1.561,48.73,0.005965,0.01884,0.7869,6.391,1,0,0,297.1,0.3034,0.8638,0.004092,0.09638,0.1238,0.6152,0.00016669999999999999,0.018930000000000002,1.965,15.16,1.168,8.431000000000001,0.1813,8.384,False,1.0
1943,6.053,0.5855,1.202,0.006525,0.03077,337.1,0.1368,0.0026079999999999996,52.46,0.04571,0.8409,0.01223,75.55,1.735,0.2566,0.09559,1,0,0,401.6,0.09436,0.9387,0.0018260000000000001,0.6874,0.03776,0.045810000000000003,0.0021149999999999997,0.4441,0.07195,4.074,0.7773,40.23,7.49e-05,0.1476,False,0.0
1944,0.5638,0.2846,0.4761,0.002882,0.1319,27.75,0.3745,0.7343,34.93,0.049139999999999996,0.03853,0.01007,2.032,1.902,2.374,0.7108,1,0,0,214.2,0.2596,0.7268,0.0105,0.21,0.1439,0.4804,0.02429,0.3886,0.9565,6.0889999999999995,1.935,11.5,0.01794,0.6281,False,1.0
1945,15.82,0.6409999999999999,9.408,0.0009683,0.02138,32.72,5.377000000000001,0.009644,97.28,1.023,0.1242,0.02167,27.08,192.7,0.6082,8.521,1,0,0,38.8,0.03921,0.4469,0.0002964,0.1262,0.5406,0.9127,7.43e-05,0.07332999999999999,0.1279,7.097,3.7319999999999998,118.6,0.009603,9.184,False,1.0
1946,6.136,0.9458,0.8304,0.019209999999999998,0.07197,73.04,0.8908,41.55,0.002912,0.045860000000000005,17.04,14.51,0.4299,0.02453,0.1932,3.31,1,0,0,38.4,0.049210000000000004,0.4176,0.003981,0.1748,0.5521,0.8499,0.0005098,0.09386,0.4975,7.2620000000000005,3.313,43.71,0.01102,1.882,False,1.0
1947,16.4,0.159,3.0669999999999997,0.01905,0.06723,568.4,0.1633,42.01,0.001178,0.01496,44.68,19.82,0.00262,0.03335,19.79,0.1217,1,0,0,257.7,0.1273,0.904,0.0029980000000000002,0.569,0.0004728,0.2293,0.052329999999999995,0.633,0.03614,1.285,4.255,110.1,0.0021609999999999997,1.433,False,1.0
