,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA
34,1.04E-01,9.08E-01,1.31E-02,6.03E-04,1.88E-01,9.24E-01,7.92E-01,2.22E-03,2.56E+00,1.71E-02,3.18E-01,8.91E-03,1.41E+01,9.66E+00,5.52E-03,2.74E-03,3.48E-03,1.80E-01,9.38E+00,1.70E-01,9.05E+00,1.46E+00,2.15E-01,1.12E+01,2.21E+00,1.84E-01,1.02E-01,3.61E+00,1.00E+00,0.00E+00,0.00E+00
35,2.04E-02,3.41E-01,3.71E-02,5.26E-03,8.39E-02,2.86E-03,1.86E-01,2.79E-03,1.54E-02,7.57E-03,1.11E-01,1.63E-03,2.84E-03,9.49E+01,1.69E+01,9.26E-02,5.09E+00,5.52E+02,3.17E+02,2.49E+02,7.73E+00,7.61E+00,3.56E-01,3.94E-01,1.89E+00,9.64E-01,1.70E-01,1.27E-01,1.00E+00,0.00E+00,0.00E+00
36,1.05E+02,5.84E-01,8.31E+00,1.23E-03,2.78E-01,1.95E+02,2.73E+00,3.86E-03,1.14E-02,1.35E+00,1.30E-02,1.11E-03,4.86E-03,1.30E+01,1.75E+01,9.09E-03,7.30E-01,5.72E+02,3.12E+01,3.57E+01,1.32E+00,1.33E+01,3.62E+00,2.85E+00,3.21E-01,1.69E+00,1.72E+00,9.20E-01,1.00E+00,0.00E+00,0.00E+00
37,1.11E-01,5.46E-02,1.02E-02,1.94E-03,2.59E-02,2.44E+01,8.49E-01,2.77E-03,5.16E-03,1.34E-01,4.36E-03,8.67E-02,1.41E-03,5.63E+00,2.24E-03,1.84E-03,7.31E-02,7.30E-02,6.31E+00,3.57E+00,3.77E-01,5.69E-01,1.69E+01,1.79E-01,9.20E-02,7.20E-02,8.03E+00,5.77E-02,1.00E+00,0.00E+00,0.00E+00
38,1.91E+00,1.75E-01,9.03E+00,7.90E-04,1.44E-01,2.90E+00,2.34E+00,1.80E-01,9.74E-02,5.89E-01,6.46E+01,9.34E+00,3.43E-01,4.77E+01,1.78E+01,1.01E-02,1.07E+01,5.81E+02,3.46E+01,5.25E+02,1.88E+00,5.53E-01,9.82E+00,1.83E-01,4.58E-01,6.99E-02,4.68E+00,5.90E-02,1.00E+00,0.00E+00,0.00E+00
39,1.81E+01,8.02E-01,7.38E-01,6.19E-02,3.02E-01,7.78E+02,1.55E+00,1.34E-02,1.50E+00,1.54E+00,3.77E-01,1.62E-01,1.30E+00,3.23E+01,8.33E+00,1.01E-01,3.91E+00,2.72E+02,3.47E+02,1.91E+02,5.42E-01,1.43E+01,3.27E-01,1.74E-01,1.32E-01,1.81E+00,1.56E-01,5.61E-02,1.00E+00,0.00E+00,0.00E+00
40,2.24E+01,1.01E-02,2.23E+00,1.21E-03,3.29E-01,3.18E+02,9.88E-02,2.68E-02,8.39E-02,2.10E+00,2.71E-01,4.35E-03,1.76E-02,1.12E+01,3.00E-02,1.25E-02,6.69E+00,9.80E-01,4.30E+01,3.27E+02,1.29E+00,1.09E+01,1.96E+01,2.25E+00,3.13E-01,1.38E+00,9.35E+00,7.26E-01,1.00E+00,0.00E+00,0.00E+00
41,3.01E-02,3.68E-01,1.79E-01,3.44E-03,4.70E-01,5.14E-01,1.63E+00,4.46E-01,1.65E-01,2.56E+01,7.11E-01,8.47E-02,3.00E-01,5.78E+01,1.17E-03,5.45E-03,2.77E-01,3.82E-02,1.87E+01,1.36E+01,2.98E-01,4.01E-01,3.52E+00,9.74E-01,7.28E-02,5.07E-02,1.68E+00,3.14E-01,1.00E+00,0.00E+00,0.00E+00
42,6.57E+01,9.20E-01,1.82E+00,2.14E-02,2.91E-01,6.10E+01,7.60E-01,7.93E-01,4.16E-02,3.24E-01,2.99E-02,6.77E-03,7.28E-02,1.54E+01,7.09E-03,2.14E-03,7.32E+00,2.31E-01,7.33E+00,3.58E+02,5.45E+00,4.29E+00,1.28E+01,6.18E+00,1.33E+00,5.43E-01,6.07E+00,1.99E+00,1.00E+00,0.00E+00,0.00E+00
43,1.02E-01,1.56E-01,3.54E-03,1.04E-03,1.29E-02,8.23E+01,8.81E-01,1.70E-02,2.27E-01,3.70E-03,1.11E-01,9.68E-01,5.35E-03,1.44E+01,2.82E-02,7.62E-02,2.00E-01,9.20E-01,2.61E+02,9.77E+00,8.50E-01,1.96E+00,9.36E-01,7.79E-01,2.07E-01,2.49E-01,4.46E-01,2.51E-01,1.00E+00,0.00E+00,0.00E+00
44,2.25E-02,7.58E-03,3.34E-02,6.53E-04,3.46E-02,7.63E-02,4.31E-02,1.36E-02,3.54E-03,2.18E-02,2.05E+00,5.52E-01,2.10E-03,4.10E+01,3.58E-01,1.28E-01,8.65E-01,1.17E+01,4.38E+02,4.23E+01,1.22E+00,1.11E+00,8.68E+00,6.56E+00,2.99E-01,1.41E-01,4.13E+00,2.12E+00,1.00E+00,0.00E+00,0.00E+00
45,1.94E+01,6.74E-02,5.49E+00,6.89E-04,2.09E-02,2.70E+02,2.58E+00,1.08E+00,3.02E-03,2.20E-01,5.15E-01,4.81E-03,3.29E-02,2.44E+01,5.56E+00,7.13E-02,2.88E-01,1.82E+02,2.45E+02,1.41E+01,1.79E+00,4.39E+00,7.64E-01,2.46E+00,4.35E-01,5.56E-01,3.64E-01,7.93E-01,1.00E+00,0.00E+00,0.00E+00
46,5.83E+00,3.15E-01,1.00E+00,1.77E-03,1.16E-01,4.30E+01,6.45E-01,2.00E+01,3.83E-01,5.95E+00,1.60E-03,2.55E-01,5.81E+00,4.84E+01,1.88E+00,5.10E-03,1.35E+01,6.15E+01,1.75E+01,6.59E+02,1.55E+00,3.59E+00,1.10E-01,1.71E+01,3.79E-01,4.54E-01,5.25E-02,5.50E+00,1.00E+00,0.00E+00,0.00E+00
47,2.63E+01,2.53E-01,4.31E-02,1.88E-02,1.57E-02,1.28E+02,2.83E-02,2.75E-02,1.15E-03,6.08E+00,2.23E-01,2.06E-02,5.56E-01,4.05E+01,3.02E-03,3.13E-03,4.53E-01,9.86E-02,1.07E+01,2.21E+01,1.88E+01,6.23E-01,2.49E+00,2.56E+00,4.58E+00,7.88E-02,1.19E+00,8.27E-01,1.00E+00,0.00E+00,0.00E+00
48,5.16E+00,2.87E-02,9.41E-01,1.87E-02,4.04E-02,4.45E+00,1.38E-01,1.77E-02,2.47E-02,4.09E-03,2.31E+00,2.99E-02,2.89E-01,4.75E+01,6.73E-01,1.16E-01,1.17E+00,2.20E+01,3.99E+02,5.71E+01,2.08E-01,6.70E+00,1.70E+01,7.20E+00,5.08E-02,8.48E-01,8.07E+00,2.32E+00,1.00E+00,0.00E+00,0.00E+00
49,2.50E+01,6.75E-03,1.59E+00,7.37E-02,2.31E-02,2.34E+02,8.81E-02,2.50E-03,5.38E+00,2.51E-03,1.62E-01,1.73E-02,6.64E-03,8.31E+01,1.41E+01,4.40E-02,1.47E-03,4.62E+02,1.51E+02,7.19E-02,1.89E+00,1.53E+00,2.99E-01,1.47E+00,4.62E-01,1.93E-01,1.42E-01,4.73E-01,1.00E+00,0.00E+00,0.00E+00
