,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f3,f12,f13,f23,f123,kb1,kb2,kb3,ku1,ku2,ku3,bcoop12,bcoop13,bcoop23,bcoop123,ucoop12,ucoop13,ucoop23,ucoop123,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNA1_min,DNA1_max,DNA2_min,DNA2_max,DNA3_min,DNA3_max,DNA12_min,DNA12_max,DNA23_min,DNA23_max,DNA13_min,DNA13_max,DNA123_min,DNA123_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
955,7.534,0.9702,0.1413,0.0009951,0.1696,1.756,0.02689,0.9477,34.43,0.001282,79.98,0.3532,0.002219,0.4173,47.5,0.08583,0.04985,28.98,8.646,0.02172,18.91,2.04,1.251,0.183,0.1392,0.1502,0.1522,0.6871,1,0,0,104.5,5.16E-05,0.2704,0.0006457,0.1169,4.08E-06,0.0005669,0.0001131,0.2874,0.001439,0.1776,0.0001023,0.002991,0.3931,0.4167,0.08229,0.9542,0.0916,1.706,0.7553,10.87,0.06421,11.34,TRUE,1
956,0.5197,0.8448,7.315,0.01571,0.01499,0.6962,6.357,26.08,85.91,0.9788,0.02235,0.06757,5.694,0.86,0.2137,68.47,0.002591,1.085,245.4,0.0134,0.508,0.1349,8.423,7.502,0.2689,0.1031,0.6755,1.136,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
957,10.16,0.1626,0.1032,0.004672,0.1212,60.94,0.8463,0.5824,32.29,0.09133,11.73,0.003033,97.26,0.004365,0.001993,0.2583,13.16,0.1359,94.47,0.2722,1.099,0.06508,3.528,5.209,0.1058,0.0522,3.794,0.5981,1,0,0,123.8,1.85E-07,3.34E-05,5.26E-07,8.39E-05,1.61E-07,2.99E-06,0.002846,0.0528,5.47E-06,6.35E-05,0.001957,0.01484,0.01162,0.1349,0.822,0.9817,1.675,9.978,115.6,429.2,26.56,366.4,TRUE,3
958,32.5,0.2614,0.1596,0.0875,0.01543,12.42,0.03576,76.68,0.001049,0.002376,0.05952,29.96,0.003064,0.009632,0.2259,0.008639,4.229,2.351,0.02722,0.4849,0.1378,0.7528,0.4294,5.043,0.5576,0.2276,0.07599,0.08583,1,0,0,171.2,8.07E-05,0.1881,0.0001693,0.002768,6.98E-06,0.1681,0.01507,0.2645,0.0002288,0.0002308,0.007884,0.4003,0.000179,0.2352,0.1924,0.903,0.02743,1.37,3.724,140.6,0.01889,24.4,TRUE,0
959,65.46,0.7251,0.3301,0.06388,0.1163,33.23,0.01395,6.077,0.2263,0.001129,32.79,0.1015,0.1348,0.003818,1.068,14.26,0.7499,0.1649,0.04401,0.3917,0.3117,0.3881,0.1483,1.311,1.667,0.05616,0.2514,0.3338,1,0,0,123,9.42E-05,0.08214,0.00113,0.0151,0.05238,0.4999,0.0001421,0.004511,0.007231,0.2174,0.02778,0.04439,0.002937,0.0731,0.338,0.8216,0.01862,0.2784,1.726,23.87,0.01087,1.988,FALSE,1
960,3.372,0.7134,0.7974,0.02035,0.02132,40.05,0.4162,37.27,33.98,0.1359,0.6089,8.511,0.1364,0.001108,0.7769,6.821,0.008204,0.6993,19.41,0.01683,4.397,0.09807,9.584,0.4364,6.251,0.5218,0.913,9.664,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,FALSE,1
961,1.594,0.2967,0.07795,0.0008902,0.2894,726.6,0.3263,4.489,0.007542,0.003148,0.03796,87.95,0.5717,0.6431,0.6464,0.001434,0.01789,1.199,0.01345,0.1419,0.4516,15.85,14.84,4.266,0.0565,1.25,0.1728,3.91,1,0,0,219.5,0.00208,0.1005,0.002874,0.03109,0.0001169,0.03466,0.0007041,0.00503,0.001726,0.03014,0.004337,0.07589,0.003213,0.05568,0.7735,0.9728,3.886,18.48,20.91,96.11,0.1742,3.679,FALSE,1
962,16.09,0.6355,9.665,0.01089,0.01716,634.6,6.465,0.6855,0.002797,54.86,0.001316,0.6056,0.03112,0.03834,11.79,0.02577,27.15,258.2,0.2376,40.42,0.1131,2.555,0.8535,15.87,0.07728,1.225,1.124,0.05657,1,0,0,27.5,0.2198,0.4698,0.008224,0.01913,0.006955,0.08825,0.1211,0.2812,0.0007753,0.002641,0.006099,0.01931,0.004773,0.0467,0.2842,0.489,4.742,10.52,122.8,257.3,0.4081,1.79,FALSE,1
963,2.709,0.7947,1.283,0.004756,0.4001,0.9783,0.1045,87.53,0.001088,1.404,2.889,0.04357,0.2675,0.002317,1.306,0.001555,2.262,12.49,0.01376,409.5,1.156,0.2901,13.98,2.63,0.4005,1.656,0.1892,0.4761,1,0,0,369.4,0.08479,0.9511,0.0009236,0.4598,0.005568,0.6142,4.87E-05,0.02435,0.001276,0.1736,0.001727,0.2318,1.75E-08,0.008045,2.28E-05,0.5448,0.04221,3.297,0.1682,7.482,0.0193,22.6,TRUE,1
964,12.38,0.0498,9.413,0.006354,0.1453,3.87,0.042,1.591,0.01997,0.1563,0.4763,6.877,0.0182,0.001406,14.39,0.01484,9.676,20.16,0.02441,0.02045,0.06076,5.03,2.938,14.76,0.1879,0.1481,0.1585,0.1683,1,0,0,746.5,0.002306,0.06759,0.0001408,0.00041,1.57E-05,0.001776,0.09377,0.2555,3.14E-07,3.15E-07,0.01127,0.1191,0.0349,0.2188,0.5442,0.7347,0.001475,0.006814,0.421,1.535,0.006906,0.08794,FALSE,0
965,0.1683,0.5698,0.01261,0.007324,0.4632,1.403,0.03215,0.01704,1.074,0.1406,23.34,2.187,3.563,0.04688,0.2863,49.19,0.003581,19.57,37.79,0.2057,19.17,3.16,6.696,0.6894,0.05407,0.3458,0.06983,0.05368,1,0,0,626.9,0.006565,0.3806,6.17E-05,0.00084,0.005426,0.07693,1.26E-05,0.005978,0.001784,0.1655,0.001524,0.02927,1.59E-06,3.48E-05,0.5494,0.9688,1.035,6.086,0.3233,1.732,0.03797,0.9808,FALSE,0
966,2.179,0.153,2.898,0.003714,0.9546,0.4776,0.7261,0.05361,0.2459,0.005226,0.002984,7.64,0.4546,0.01742,30.11,0.00259,11.34,0.07104,0.01595,6.599,0.2926,0.5308,3.428,6.949,1.42,19.76,0.3502,0.05498,1,0,0,825.7,0.0003222,0.007279,0.2864,0.6714,1.72E-05,0.004067,0.001161,0.002723,0.003679,0.05603,0.0007086,0.01078,0.002998,0.04895,0.2944,0.6836,0.01602,0.1022,0.2739,1.136,0.1547,2.547,FALSE,0
967,7.327,0.3788,0.7056,0.08435,0.4627,61.88,0.1675,0.083,0.01149,0.3106,0.01542,0.02664,17.26,0.009091,0.1126,4.267,0.5336,0.01973,0.4452,0.03389,4.632,1.28,4.386,0.05067,0.3426,4.188,18.04,17.65,1,0,0,124.7,0.01279,0.2815,0.01321,0.2234,0.04616,0.04882,0.08302,0.09739,0.4026,0.7491,0.002783,0.09729,0.01164,0.02982,1.85E-05,0.001054,0.06076,0.4112,1.373,7.438,0.01436,0.413,FALSE,3
